r30m44;Variable;factor;weight;spatial
Price|Gas|World Market (US$2005/GJ);Price|Primary Energy|Gas (US$2010/GJ);1.10774;NULL;reg+glo
Price|Oil|World Market (US$2005/GJ);Price|Primary Energy|Oil (US$2010/GJ);1.10774;NULL;reg+glo
Price|Secondary Energy|Electricity|Moving Avg (US$2005/GJ);Price|Secondary Energy|Electricity (US$2010/GJ);1.10774;NULL;reg+glo
Price|Secondary Energy|Gases (US$2005/GJ);Price|Secondary Energy|Gases|Natural Gas (US$2010/GJ);1.10774;NULL;reg+glo
Price|Secondary Energy|Hydrogen (US$2005/GJ);Price|Secondary Energy|Hydrogen (US$2010/GJ);1.10774;NULL;reg+glo
Price|Secondary Energy|Liquids (US$2005/GJ);Price|Secondary Energy|Liquids (US$2010/GJ);1.10774;NULL;reg+glo
Price|Secondary Energy|Liquids|Biomass (US$2005/GJ);Price|Secondary Energy|Liquids|Biomass (US$2010/GJ);1.10774;NULL;reg+glo
Price|Light Fuel Oil|Secondary Level (US$2005/GJ);Price|Secondary Energy|Liquids|Oil (US$2010/GJ);1.10774;NULL;reg+glo
Price|Secondary Energy|Solids|Biomass (US$2005/GJ);Price|Secondary Energy|Solids|Biomass (US$2010/GJ);1.10774;NULL;reg+glo
Price|Secondary Energy|Solids|Fossil (US$2005/GJ);Price|Secondary Energy|Solids|Coal (US$2010/GJ);1.10774;NULL;reg+glo
Emi|BC (Mt BC/yr);Emissions|BC (Mt BC/yr);1;NULL;reg+glo
Emi|BC|Land Use (Mt BC/yr);Emissions|BC|AFOLU (Mt BC/yr);1;NULL;reg+glo
Emi|BC|Land Use|Agriculture (Mt BC/yr);Emissions|BC|AFOLU|Agriculture (Mt BC/yr);1;NULL;reg+glo
Emi|BC|Energy Supply and Demand (Mt BC/yr);Emissions|BC|Energy (Mt BC/yr);1;NULL;reg+glo
Emi|BC|Energy Demand|ResCom (Mt BC/yr);Emissions|BC|Energy|Demand|Residential and Commercial (Mt BC/yr);1;NULL;reg+glo
Emi|BC|Energy Demand|Industry (Mt BC/yr);Emissions|BC|Energy|Demand|Industry (Mt BC/yr);1;NULL;reg+glo
Emi|BC|Energy Demand|Transport (Mt BC/yr);Emissions|BC|Energy|Demand|Transportation (Mt BC/yr);1;NULL;reg+glo
Emi|BC|Energy Supply (Mt BC/yr);Emissions|BC|Energy|Supply (Mt BC/yr);1;NULL;reg+glo
Emi|BC|Solvents (Mt BC/yr);Emissions|BC|Other (Mt BC/yr);1;NULL;reg+glo
Emi|BC|Waste (Mt BC/yr);Emissions|BC|Waste (Mt BC/yr);1;NULL;reg+glo
Emi|C2F6 (kt C2F6/yr);Emissions|C2F6 (kt C2F6/yr);1;NULL;reg+glo
Emi|C6F14 (kt C6F14/yr);Emissions|C6F14 (kt C6F14/yr);1;NULL;reg+glo
Emi|CF4 (kt CF4/yr);Emissions|CF4 (kt CF4-equiv/yr);1;NULL;reg+glo
Emi|CH4 (Mt CH4/yr);Emissions|CH4 (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land (Mt CH4/yr);Emissions|CH4|AFOLU (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|+|Agriculture (Mt CH4/yr);Emissions|CH4|AFOLU|Agriculture (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|Agriculture|+|Enteric fermentation (Mt CH4/yr);Emissions|CH4|AFOLU|Agriculture|Livestock (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|Agriculture|+|Animal waste management (Mt CH4/yr);Emissions|CH4|AFOLU|Agriculture|Livestock (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|Agriculture|+|Enteric fermentation (Mt CH4/yr);Emissions|CH4|AFOLU|Agriculture|Livestock|Enteric Fermentation (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|Agriculture|+|Animal waste management (Mt CH4/yr);Emissions|CH4|AFOLU|Agriculture|Livestock|Manure Management (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|Agriculture|+|Rice (Mt CH4/yr);Emissions|CH4|AFOLU|Agriculture|Rice (Mt CH4/yr);1;NULL;reg+glo
Emi|CH4|+|Land-Use Change (Mt CH4/yr);Emissions|CH4|AFOLU|Land (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|+|Peatland (Mt CH4/yr);Emissions|CH4|AFOLU|Wetlands|Peatlands (Mt CH4/yr);1;NULL;reg+glo
Emi|CH4|Energy Supply and Demand (Mt CH4/yr);Emissions|CH4|Energy (Mt CH4/yr);1;NULL;reg+glo
Emi|CH4|+|Energy Supply (Mt CH4/yr);Emissions|CH4|Energy|Supply (Mt CH4/yr);1;NULL;reg+glo
Emi|CH4|Other (Mt CH4/yr);Emissions|CH4|Other (Mt CH4/yr);1;NULL;reg+glo
Emi|CH4|+|Waste (Mt CH4/yr);Emissions|CH4|Waste (Mt CH4/yr);1;NULL;reg+glo
Emi|CO (Mt CO/yr);Emissions|CO (Mt CO/yr);1;NULL;reg+glo
Emi|CO2 (Mt CO2/yr);Emissions|CO2 (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|+|Land-Use Change (Mt CO2/yr);Emissions|CO2|AFOLU (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|+|Energy (Mt CO2/yr);Emissions|CO2|Energy (Mt CO2/yr);1;NULL;reg+glo
Carbon Management|Carbon Capture (Mt CO2/yr);Emissions|CO2|Energy (Mt CO2/yr);1;NULL;reg+glo
Carbon Management|Storage (Mt CO2/yr);Emissions|CO2|Energy (Mt CO2/yr);-1;NULL;reg+glo
Emi|CO2|Energy and Industrial Processes (Mt CO2/yr);Emissions|CO2|Energy and Industrial Processes (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Energy|+|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Energy|Demand|+|Buildings (Mt CO2/yr);Emissions|CO2|Energy|Demand|Residential and Commercial (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Energy|Demand|+|Industry (Mt CO2/yr);Emissions|CO2|Energy|Demand|Industry (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Energy|Demand|Industry|++|Cement (Mt CO2/yr);Emissions|CO2|Energy|Demand|Industry|Cement (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Energy|Demand|Industry|++|Chemicals (Mt CO2/yr);Emissions|CO2|Energy|Demand|Industry|Chemicals (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Energy|Demand|Industry|++|Other Industry (Mt CO2/yr);Emissions|CO2|Energy|Demand|Industry|Other (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Energy|Demand|Industry|++|Steel (Mt CO2/yr);Emissions|CO2|Energy|Demand|Industry|Steel (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Energy|Demand|+|Transport (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Transport|Pass|Aviation|Domestic|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Transport|Freight|Short-Medium Distance|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation|Freight (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Transport|Freight|Navigation|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation|Maritime|Freight (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Transport|Pass|Short-Medium Distance|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation|Passenger (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Transport|Rail|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation|Rail (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Transport|Freight|Rail|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation|Rail|Freight (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Transport|Pass|Rail|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation|Rail|Passenger (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Transport|Road|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation|Road (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Transport|Freight|Road|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation|Road|Freight (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Transport|Pass|Road|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation|Road|Passenger (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Transport|Pass|Road|Bus|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|Bus (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Transport|Pass|Road|LDV|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|LDV (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Energy|+|Supply (Mt CO2/yr);Emissions|CO2|Energy|Supply (Mt CO2/yr);1;NULL;reg+glo
Carbon Management|Carbon Capture (Mt CO2/yr);Emissions|CO2|Energy|Supply (Mt CO2/yr);1;NULL;reg+glo
Carbon Management|Storage (Mt CO2/yr);Emissions|CO2|Energy|Supply (Mt CO2/yr);-1;NULL;reg+glo
Emi|CO2|Energy|Supply|+|Electricity w/ couple prod (Mt CO2/yr);Emissions|CO2|Energy|Supply|Electricity (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Energy|Supply|+|Gases w/ couple prod (Mt CO2/yr);Emissions|CO2|Energy|Supply|Gases (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Energy|Supply|+|Heat w/ couple prod (Mt CO2/yr);Emissions|CO2|Energy|Supply|Heat (Mt CO2/yr);1;NULL;reg+glo
