r30m44;Variable;factor;weight;spatial
Water Consumption|Electricity|Geothermal (km3/yr);Water Consumption|Electricity|Geothermal (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Hydro (km3/yr);Water Consumption|Electricity|Hydro (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Non-Biomass Renewables (km3/yr);Water Consumption|Electricity|Non-Biomass Renewables (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Nuclear (km3/yr);Water Consumption|Electricity|Nuclear (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Oil (km3/yr);Water Consumption|Electricity|Oil (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Oil|w/o CCS (km3/yr);Water Consumption|Electricity|Oil|w/o CCS (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Once Through (km3/yr);Water Consumption|Electricity|Once Through (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Solar (km3/yr);Water Consumption|Electricity|Solar (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Solar|CSP (km3/yr);Water Consumption|Electricity|Solar|CSP (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Solar|PV (km3/yr);Water Consumption|Electricity|Solar|PV (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Wet Tower (km3/yr);Water Consumption|Electricity|Wet Tower (km3/yr);1;NULL;reg+glo
Water Consumption|Electricity|Wind (km3/yr);Water Consumption|Electricity|Wind (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity (km3/yr);Water Withdrawal|Electricity (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Biomass (km3/yr);Water Withdrawal|Electricity|Biomass (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Biomass|w/ CCS (km3/yr);Water Withdrawal|Electricity|Biomass|w/ CCS (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Biomass|w/o CCS (km3/yr);Water Withdrawal|Electricity|Biomass|w/o CCS (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Coal (km3/yr);Water Withdrawal|Electricity|Coal (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Coal|w/ CCS (km3/yr);Water Withdrawal|Electricity|Coal|w/ CCS (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Coal|w/o CCS (km3/yr);Water Withdrawal|Electricity|Coal|w/o CCS (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Cooling Pond (km3/yr);Water Withdrawal|Electricity|Cooling Pond (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Dry Cooling (km3/yr);Water Withdrawal|Electricity|Dry Cooling (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Fossil (km3/yr);Water Withdrawal|Electricity|Fossil (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Fossil|w/ CCS (km3/yr);Water Withdrawal|Electricity|Fossil|w/ CCS (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Fossil|w/o CCS (km3/yr);Water Withdrawal|Electricity|Fossil|w/o CCS (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Gas (km3/yr);Water Withdrawal|Electricity|Gas (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Gas|w/ CCS (km3/yr);Water Withdrawal|Electricity|Gas|w/ CCS (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Gas|w/o CCS (km3/yr);Water Withdrawal|Electricity|Gas|w/o CCS (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Geothermal (km3/yr);Water Withdrawal|Electricity|Geothermal (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Hydro (km3/yr);Water Withdrawal|Electricity|Hydro (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Non-Biomass Renewables (km3/yr);Water Withdrawal|Electricity|Non-Biomass Renewables (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Nuclear (km3/yr);Water Withdrawal|Electricity|Nuclear (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Oil (km3/yr);Water Withdrawal|Electricity|Oil (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Oil|w/o CCS (km3/yr);Water Withdrawal|Electricity|Oil|w/ CCS (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Once Through (km3/yr);Water Withdrawal|Electricity|Once Through (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Solar (km3/yr);Water Withdrawal|Electricity|Solar (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Solar|CSP (km3/yr);Water Withdrawal|Electricity|Solar|CSP (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Solar|PV (km3/yr);Water Withdrawal|Electricity|Solar|PV (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Wet Tower (km3/yr);Water Withdrawal|Electricity|Wet Tower (km3/yr);1;NULL;reg+glo
Water Withdrawal|Electricity|Wind (km3/yr);Water Withdrawal|Electricity|Wind (km3/yr);1;NULL;reg+glo
SDG|SDG06|Agricultural water use (km3/yr);Water Withdrawal|Irrigation (km3/yr);1;NULL;reg+glo
UE|per capita|Transport|Pass (GJ/cap/yr);Useful Energy|Per Capita|Transportation|Passenger (GJ/cap/yr);1;NULL;reg+glo
Disability-Adjusted Life Year|PM2_5 (DALY/yr);Disability-Adjusted Life Year|PM2_5 (DALY/yr);1;NULL;reg+glo
UE|per capita|Buildings (GJ/cap/yr);Useful Energy|Per Capita|Residential and Commercial (GJ/cap/yr);1;NULL;reg+glo
Intensity|GDP|Final Energy (MJ/US$2005);Intensity|Final Energy (EJ/billion US$2010);1.10774;NULL;reg+glo
FE|Industry|Electricity|Share (%);Final Energy|Industry|Electricity|Share (%);1;NULL;reg+glo
Air pollution concentration|PM2_5|Urban population (ug/m3);Air pollution concentration|PM2_5|Urban population (ug/m3);1;NULL;reg+glo
Population|Poverty|LMIC poverty line (million);Population|Poverty|LMIC poverty line (million);1;NULL;reg+glo
Population|Poverty|UMIC poverty line (million);Population|Poverty|UMIC poverty line (million);1;NULL;reg+glo
GDP|PPP|Per capita growth rate (percent);GDP|PPP|Per capita growth rate (%);1;NULL;reg+glo
GDP|PPP|Per capita ratio to OECD (percent);GDP|PPP|Per capita ratio to OECD (%);1;NULL;reg+glo
Population|Relative poverty|wrt median income|Share (percent);Population|Relative poverty|wrt median income|Share (%);1;NULL;reg+glo
Inequality|Bottom 40% average income|Ratio (percent);Inequality|Bottom 40% average income|Ratio (%);1;NULL;reg+glo
Policy Cost|Transfers (billion US$2005/yr);Policy Cost|Transfers (billion US$2010/yr);1.10774;NULL;reg+glo
SDG|SDG02|Prevalence of underweight (million);Population|Prevalence of underweight (million);1;NULL;reg+glo
SDG|SDG02|Prevalence of underweight|Children (million);Population|Prevalence of underweight|Children (million);1;NULL;reg+glo
SDG|SDG03|Prevalence of overweight (million);Population|Prevalence of overweight (million);1;NULL;reg+glo
SDG|SDG03|Prevalence of overweight|Children (million);Population|Prevalence of overweight|Children (million);1;NULL;reg+glo
SDG|SDG03|Prevalence of obesity (million);Population|Prevalence of obesity (million);1;NULL;reg+glo
SDG|SDG03|Prevalence of obesity|Children (million);Population|Prevalence of obesity|Children (million);1;NULL;reg+glo
SDG|SDG02|Food availability (kcal/cap/day);Food|Availability (kcal/cap/day);1;NULL;reg+glo
SDG|SDG12|Food waste (kcal/cap/day);Food Waste (kcal/cap/day);1;NULL;reg+glo
SDG|SDG02|Food expenditure share (income);Expenditure Share|Food (%);100;NULL;reg+glo
SDG|SDG12|Material footprint (tDM/capita/yr);Material footprint (tDM/cap/yr);1;NULL;reg+glo
SDG|SDG15|Forest share (share of total land);Land Cover|Forest|Share (%);100;NULL;reg+glo
Biodiversity|BII (unitless);Terrestrial biodiversity (-);1;NULL;reg+glo
Ocean|pH value (-);Ocean|pH value (-);1;NULL;reg+glo
Ocean|Carbonate Saturation|Calcite (-);Ocean|Carbonate Saturation|Calcite (-);1;NULL;reg+glo
Ocean|Carbonate Saturation|Aragonite (-);Ocean|Carbonate Saturation|Aragonite (-);1;NULL;reg+glo
Ocean|Net primary production (GtC/yr);Ocean|Net primary production (GtC/yr);1;NULL;reg+glo
Ocean|New production (GtC/yr);Ocean|New production (GtC/yr);1;NULL;reg+glo
Ocean|Extension of suboxic zones (km3);Ocean|Extension of suboxic zones (km³);1;NULL;reg+glo
Political institutions|Equality before law and individual liberty (-);Political institutions|Equality before law and individual liberty (-);1;NULL;reg+glo
Emi|C6F14 (kt C6F14/yr);Emi|C6F14 (kt C6F14/yr);1;NULL;reg+glo
PE|Biomass|Heat (EJ/yr);Primary Energy|Biomass|Electricity (EJ/yr);1;NULL;reg+glo
PE|Coal|Heat (EJ/yr);Primary Energy|Coal|Electricity (EJ/yr);1;NULL;reg+glo
PE|Gas|Heat (EJ/yr);Primary Energy|Gas|Electricity (EJ/yr);1;NULL;reg+glo
